,movie_id,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,ordering,title,region,language,types,attributes,is_original_title,id,release_date,production_budget,domestic_gross_movie_budgets,worldwide_gross_movie_budgets
712,tt1408253,6.2,94529,Ride Along,Ride Along,2014,99.0,"Action,Comedy,Crime",5,ridealong,US,,,,0.0,67,"Jan 17, 2014","$25,000,000","$134,202,565","$153,733,800"
1458,tt1436562,6.9,191621,Rio,Rio,2011,96.0,"Adventure,Animation,Comedy",13,rio,US,en,,,0.0,46,"Apr 15, 2011","$90,000,000","$143,619,809","$487,519,809"
1456,tt2614250,8.3,14,Rio,Rio,2012,90.0,Documentary,1,rio,US,,,,0.0,46,"Apr 15, 2011","$90,000,000","$143,619,809","$487,519,809"
1457,tt5734820,2.6,7,Rio,Rio,2017,87.0,Drama,1,rio,US,,,,0.0,46,"Apr 15, 2011","$90,000,000","$143,619,809","$487,519,809"
1543,tt0955308,6.6,239480,Robin Hood,Robin Hood,2010,140.0,"Action,Adventure,Drama",21,robinhood,US,,working,,0.0,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
1540,tt4532826,5.3,41588,Robin Hood,Robin Hood,2018,116.0,"Action,Adventure,Thriller",1,robinhood,US,,working,,0.0,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
1541,tt4532826,5.3,41588,Robin Hood,Robin Hood,2018,116.0,"Action,Adventure,Thriller",1,robinhood,US,,working,,0.0,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
1542,tt0955308,6.6,239480,Robin Hood,Robin Hood,2010,140.0,"Action,Adventure,Drama",21,robinhood,US,,working,,0.0,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
1944,tt1234721,6.2,205798,RoboCop,RoboCop,2014,117.0,"Action,Crime,Sci-Fi",17,robocop,US,,,,0.0,55,"Jul 17, 1987","$13,000,000","$53,424,681","$53,424,681"
1943,tt1234721,6.2,205798,RoboCop,RoboCop,2014,117.0,"Action,Crime,Sci-Fi",17,robocop,US,,,,0.0,96,"Feb 12, 2014","$120,000,000","$58,607,007","$242,981,799"
722,tt3827726,4.8,14,Romeo & Juliet,Romeo & Juliet,2017,101.0,"Drama,Romance",1,romeojuliet,US,,,,0.0,67,"Nov 1, 1996","$14,500,000","$46,338,728","$147,542,381"
721,tt1645131,5.8,10253,Romeo & Juliet,Romeo & Juliet,2013,113.0,"Drama,Romance",19,romeojuliet,US,,,DVD box title,0.0,67,"Nov 1, 1996","$14,500,000","$46,338,728","$147,542,381"
508,tt1987632,7.9,8,Rush,Rush,2011,87.0,"Comedy,Romance",1,rush,US,,,,0.0,71,"Sep 20, 2013","$38,000,000","$26,947,624","$98,230,839"
507,tt1979320,8.1,393437,Rush,Rush,2013,123.0,"Action,Biography,Drama",6,rush,US,,imdbDisplay,,0.0,71,"Sep 20, 2013","$38,000,000","$26,947,624","$98,230,839"
38,tt3490320,6.1,22,Rust,Rust,2015,75.0,"Horror,Thriller",1,rust,US,,,,0.0,93,"Oct 5, 2010","$250,000",$0,$0
37,tt7467324,6.6,377,Rust,Ferrugem,2018,100.0,Drama,2,rust,US,,festival,,0.0,93,"Oct 5, 2010","$250,000",$0,$0
908,tt1599348,6.8,192655,Safe House,Safe House,2012,115.0,"Action,Adventure,Crime",23,safehouse,US,,imdbDisplay,,0.0,99,"Feb 10, 2012","$85,000,000","$126,181,630","$208,542,162"
909,tt1823743,7.7,36,SafeHouse,SafeHouse,2011,77.0,"Comedy,Drama",1,safehouse,US,,,,0.0,99,"Feb 10, 2012","$85,000,000","$126,181,630","$208,542,162"
558,tt6476140,5.3,17904,Serenity,Serenity,2019,106.0,"Drama,Mystery,Sci-Fi",21,serenity,US,,imdbDisplay,,0.0,93,"Jan 25, 2019","$25,000,000","$8,547,045","$11,367,029"
557,tt6476140,5.3,17904,Serenity,Serenity,2019,106.0,"Drama,Mystery,Sci-Fi",21,serenity,US,,imdbDisplay,,0.0,50,"Sep 30, 2005","$39,000,000","$25,514,517","$40,319,440"
777,tt2053463,7.1,168466,Side Effects,Side Effects,2013,106.0,"Crime,Drama,Mystery",24,sideeffects,US,,working,,0.0,29,"Sep 9, 2005","$200,000","$44,701","$44,701"
776,tt2053463,7.1,168466,Side Effects,Side Effects,2013,106.0,"Crime,Drama,Mystery",24,sideeffects,US,,working,,0.0,32,"Feb 8, 2013","$30,000,000","$32,172,757","$66,742,138"
256,tt2612800,5.7,37,Sisters,Schwestern,2013,84.0,Drama,2,sisters,US,,imdbDisplay,,0.0,57,"Dec 18, 2015","$30,000,000","$87,044,645","$106,030,660"
255,tt1850457,6.0,58994,Sisters,Sisters,2015,118.0,Comedy,24,sisters,US,,working,,0.0,57,"Dec 18, 2015","$30,000,000","$87,044,645","$106,030,660"
1326,tt1564585,4.4,83710,Skyline,Skyline,2010,92.0,"Action,Sci-Fi,Thriller",16,skyline,US,,,,0.0,99,"Nov 12, 2010","$10,000,000","$21,416,355","$68,264,973"
1325,tt4085130,5.7,161,Sky Line,Sky Line,2015,74.0,"Biography,Documentary,Drama",1,skyline,US,,,,0.0,99,"Nov 12, 2010","$10,000,000","$21,416,355","$68,264,973"
315,tt1210047,5.9,56,Snatched!,Snatched!,2010,107.0,"Comedy,Crime,Mystery",1,snatched,US,,alternative,,0.0,51,"May 12, 2017","$42,000,000","$45,852,178","$57,852,177"
316,tt1245534,5.5,61,Snatched,Snatched,2011,81.0,Comedy,1,snatched,US,,,,0.0,51,"May 12, 2017","$42,000,000","$45,852,178","$57,852,177"
317,tt2334871,4.5,29997,Snatched,Snatched,2017,90.0,"Action,Adventure,Comedy",12,snatched,US,,,,0.0,51,"May 12, 2017","$42,000,000","$45,852,178","$57,852,177"
1395,tt0882977,6.5,78142,Snitch,Snitch,2013,112.0,"Action,Drama,Thriller",13,snitch,US,,,,0.0,26,"Feb 22, 2013","$15,000,000","$42,930,462","$57,907,734"
1396,tt0882977,6.5,78142,Snitch,Snitch,2013,112.0,"Action,Drama,Thriller",13,snitch,US,,,,0.0,52,"Dec 31, 2012","$850,000",$0,$0
872,tt4972582,7.3,358543,Split,Split,2016,117.0,"Horror,Thriller",20,split,US,,working,,0.0,50,"Jan 20, 2017","$5,000,000","$138,141,585","$278,964,806"
870,tt2660118,2.9,557,Split,Split,2016,90.0,"Comedy,Romance,Sport",1,split,US,,,,0.0,50,"Jan 20, 2017","$5,000,000","$138,141,585","$278,964,806"
871,tt3315656,3.6,380,Split,Split,2016,127.0,"Drama,Fantasy",2,split,US,,,,0.0,50,"Jan 20, 2017","$5,000,000","$138,141,585","$278,964,806"
1468,tt0372538,6.6,78,Spy,Spy,2011,110.0,"Action,Crime,Drama",1,spy,US,,working,,0.0,83,"Jun 5, 2015","$65,000,000","$110,825,712","$232,585,748"
1467,tt3079380,7.0,213908,Spy,Spy,2015,119.0,"Action,Comedy,Crime",6,spy,US,,imdbDisplay,,0.0,83,"Jun 5, 2015","$65,000,000","$110,825,712","$232,585,748"
1669,tt1423995,5.4,38667,Stone,Stone,2010,105.0,"Drama,Thriller",25,stone,US,,,,0.0,50,"Oct 8, 2010","$22,000,000","$1,810,078","$4,065,020"
